Map_Name,Map_Text
Restaurante,SUBWAY MULTIPLAZA ESCA 
Gasolina,SERVICENTRO EL HIGUERO
Restaurante,LA FABRICA PIZZERIA CU 
Restaurante,ROSTIPOLLOS
Supermercado,AUTO MERCADO PL/DEL SO 
Restaurante,HOOLIGANS 
Diversion,JUMP CENTER
Restaurante,RESTAURANTE TACO BELL
Software,Spotify 
Restaurante,TERIYAKI MULTIPLAZA ES 
Supermercado,WALMART ESCAZ
Software,Dropbox 7N5JWLK5LLBQ
Restaurante,AROMA COFEE HOUSE
Restaurante,PORKYS BURGER
Gimnasio,MULTISPA DEL OESTE
Restaurante,SUBWAY U/LATINA
Restaurante,ROSTIPOLLOS MULTIPLAZA
Salud,NUTRICION INTEGRAL
Supermercado,AUTO MERCADO PL/DEL SO
Restaurante,RESTAURANTE TERRAZA TO
Restaurante,PF CHANG S
Restaurante,SUBWAY MULTIPLAZA ESCA
Restaurante,LA FABRICA PIZZERIA
Restaurante,TERIYAKI MULTIPLAZA ES
Supermercado,AUTO MERCADO MULTIPLAZ
Regalos,LIBRERIA INTERNACIONAL
Salud,FARM/SUCRE MULTIPLAZA OESTE
Gasolina,SERVICENTRO EL HIGUERON
Gasolina,BOMBA LA MARINA
Restaurante,SUBWAY CIUDAD QUESADA
Regalos,ALMACENES SIMAN
Imprevisto,ENTERPRISE CURRIDABAT
Restaurante,CRCC HOYO 19 N/1
Supermercado,SUPERMERCADO COOPEMARI
Restaurante,LA FABRICA PIZZERIA CU
Regalos,UNIVERSAL: OTRAS TARJE
Restaurante,LA CASONA DE LALY SANT
Regalos,EXTREMOS CAMARO MRB MU
Supermercado,MEGA SUPER SANTA ANA
Supermercado,MAXIPALI CIUDAD QUESADA
Restaurante,N Y C PIZZA BCO
Regalos,EKONO SAN CARLOS
Restaurante,CABANA DON MANUEL
Gasolina,SERVICENTRO LA ESPERAN
Restaurante,SUBWAY CIUDAD QUESADA
Restaurante,SUBWAY PLAZA DEL SOL
Restaurante,TERIYAKI SANTA ANA
Restaurante,ROSTIPOLLOS
Restaurante,LA FABRICA PIZZERIA CU
Restaurante,RESTAURANTE LAS HORTEN
Restaurante,RESTAURANTE LAS HORTEN
Gasolina,SERVICENTRO LA ESPERAN
Restaurante,HOOTERS
Restaurante,TAQUIROUS FAST FOOD
Software,NETFLIX/COM
Restaurante,AROMA COFEE HOUSE
Restaurante,CHILIS MULTIPLAZA DEL
Restaurante,TAP HOUSE
Restaurante,TERIYAKI MULTIPLAZA DE
Restaurante,NINA CAFE
